entry_date,entry,mode,dir,exit_date,exit,pnl_usd,return_pct,bars_held,tp1,reason,asset
2022-10-26 08:00:00,1529.7127919999998,TREND,LONG,2022-11-02 08:00:00,1545.064089575598,53.9408,1.0035,42,False,risk_cap,ETH
2023-01-06 16:00:00,1274.148504,TREND,LONG,2023-01-14 00:00:00,1489.0095626979826,716.4325,13.2095,44,True,be_stop,ETH
2023-01-20 20:00:00,1659.8468159999998,STRONG_BULL_TREND,LONG,2023-01-24 20:00:00,1553.9959572654334,-408.4892,-6.3771,24,False,risk_cap,ETH
2023-01-29 16:00:00,1655.1830879999998,STRONG_BULL_TREND,LONG,2023-01-30 16:00:00,1545.4972298641635,-398.7652,-6.6268,6,False,risk_cap,ETH
2023-02-02 00:00:00,1672.4669039999999,STRONG_BULL_TREND,LONG,2023-02-09 16:00:00,1571.7248430355162,-339.646,-6.0236,46,False,risk_cap,ETH
2023-02-15 16:00:00,1629.8428319999998,TREND,LONG,2023-02-21 20:00:00,1643.9492360015481,43.5884,0.8655,37,False,risk_cap,ETH
2023-03-12 20:00:00,1581.5942639999998,TREND,LONG,2023-03-15 16:00:00,1610.453210359979,92.6096,1.8247,17,False,risk_cap,ETH
2023-03-17 20:00:00,1790.7014159999999,STRONG_BULL_TREND,LONG,2023-04-09 04:00:00,1825.926672226589,190.8368,3.5046,134,True,be_stop,ETH
2023-04-11 00:00:00,1924.758576,STRONG_BULL_TREND,LONG,2023-04-19 08:00:00,1961.1352759481706,207.5225,3.6882,50,True,be_stop,ETH
2023-04-26 12:00:00,1955.4731279999999,STRONG_BULL_TREND,LONG,2023-04-26 16:00:00,1827.277008,-381.7938,-6.5558,1,False,ema_exit,ETH
2023-06-20 20:00:00,1793.4235919999999,TREND,LONG,2023-06-28 04:00:00,1849.5192,222.7745,4.3059,44,True,ema_exit,ETH
2023-07-13 12:00:00,1934.3462399999999,STRONG_BULL_TREND,LONG,2023-07-17 08:00:00,1908.5619279999999,-75.6159,-1.333,23,False,risk_cap,ETH
2023-09-18 12:00:00,1654.0357119999999,SHORT_RIP,SHORT,2023-09-20 08:00:00,1627.5370279622289,85.0071,1.6021,11,False,rip_target,ETH
2023-09-28 12:00:00,1653.9020639999999,TREND,LONG,2023-10-01 20:00:00,1680.7208454182644,87.2815,1.6215,20,False,risk_cap,ETH
2023-10-21 16:00:00,1636.498152,TREND,LONG,2023-10-28 20:00:00,1770.9215320429253,437.5919,8.0128,43,True,be_stop,ETH
2023-11-01 16:00:00,1837.36872,STRONG_BULL_TREND,LONG,2023-11-17 12:00:00,1916.81532,332.5242,5.3804,95,True,be_stop,ETH
2023-11-22 16:00:00,2078.6315759999998,STRONG_BULL_TREND,LONG,2023-12-11 00:00:00,2166.404364614932,297.5352,4.5802,110,True,be_stop,ETH
2023-12-22 08:00:00,2314.880424,STRONG_BULL_TREND,LONG,2023-12-26 16:00:00,2200.882382557736,-333.8287,-4.9246,26,False,risk_cap,ETH
2023-12-27 20:00:00,2380.2526799999996,STRONG_BULL_TREND,LONG,2023-12-31 20:00:00,2257.8848169451594,-332.1931,-5.141,24,False,risk_cap,ETH
2024-01-08 16:00:00,2356.443648,TREND,LONG,2024-01-09 12:00:00,2255.3742559999996,-249.7364,-4.2891,5,False,ema_exit,ETH
2024-01-10 08:00:00,2404.1317679999997,STRONG_BULL_TREND,LONG,2024-01-12 20:00:00,2481.0634364019866,348.401,5.8962,15,True,be_stop,ETH
2024-01-30 16:00:00,2376.8299439999996,TREND,LONG,2024-01-31 08:00:00,2298.3398559999996,-195.2132,-3.3023,4,False,ema_exit,ETH
2024-02-07 16:00:00,2421.895968,TREND,LONG,2024-02-28 16:00:00,3221.0751191452905,1441.2599,25.1277,126,True,be_stop,ETH
2024-02-29 08:00:00,3516.681096,STRONG_BULL_TREND,LONG,2024-03-05 16:00:00,3218.2629946597563,-629.9497,-8.4858,32,False,risk_cap,ETH
2024-03-06 08:00:00,3882.8437919999997,STRONG_BULL_TREND,LONG,2024-03-16 20:00:00,3506.747184071922,-417.5306,-9.6861,63,False,risk_cap,ETH
2024-03-25 16:00:00,3641.8711679999997,STRONG_BULL_TREND,LONG,2024-04-01 12:00:00,3441.284768,-354.0668,-5.5078,41,False,ema_exit,ETH
2024-04-07 20:00:00,3456.9633599999997,TREND,LONG,2024-04-09 12:00:00,3477.6512894487296,34.539,0.5984,10,False,risk_cap,ETH
2024-04-28 00:00:00,3311.5170959999996,TREND,LONG,2024-04-29 00:00:00,3175.0579199999997,-239.1088,-4.1207,6,False,ema_exit,ETH
2024-05-17 12:00:00,3114.029232,TREND,LONG,2024-05-20 16:00:00,3236.0084696057884,218.862,3.9171,19,False,risk_cap,ETH
2024-05-20 20:00:00,3664.7094239999997,TREND,LONG,2024-05-23 20:00:00,3516.927148925328,-233.2581,-4.0326,18,False,risk_cap,ETH
2024-05-27 12:00:00,3966.5607119999995,STRONG_BULL_TREND,LONG,2024-05-30 04:00:00,3717.3437440000002,-369.6949,-6.2829,16,False,risk_cap,ETH
2024-06-05 16:00:00,3879.6412319999995,STRONG_BULL_TREND,LONG,2024-06-07 16:00:00,3683.8118224744253,-279.279,-5.0476,12,False,risk_cap,ETH
2024-07-15 00:00:00,3332.0334959999996,TREND,LONG,2024-07-23 16:00:00,3396.2206686418895,164.4851,3.2961,52,True,be_stop,ETH
2024-09-20 04:00:00,2563.0487999999996,TREND,LONG,2024-09-25 20:00:00,2557.1405877721954,-11.8447,-0.2305,34,False,risk_cap,ETH
2024-10-14 12:00:00,2637.5783759999995,TREND,LONG,2024-10-22 00:00:00,2642.444352,9.4599,0.1845,45,False,risk_cap,ETH
2024-10-28 20:00:00,2569.5339839999997,TREND,LONG,2024-10-31 12:00:00,2560.809712,-17.4389,-0.3395,16,False,risk_cap,ETH
2024-11-06 16:00:00,2689.3997999999997,TREND,LONG,2024-11-14 12:00:00,3075.2178559999998,675.123,13.1846,47,True,be_stop,ETH
2024-11-21 12:00:00,3279.651624,STRONG_BULL_TREND,LONG,2024-12-09 20:00:00,3596.4871170078964,623.9419,10.3193,110,True,be_stop,ETH
2024-12-16 16:00:00,4060.1255039999996,STRONG_BULL_TREND,LONG,2024-12-18 16:00:00,3767.273768,-478.8709,-7.2129,12,False,risk_cap,ETH
2025-01-03 16:00:00,3625.7282639999994,TREND,LONG,2025-01-07 12:00:00,3459.8698879999997,-268.0054,-4.5745,23,False,risk_cap,ETH
2025-03-19 16:00:00,2029.4351519999998,SHORT_RIP,SHORT,2025-03-20 16:00:00,1958.4630678239407,196.4515,3.4971,6,False,rip_target,ETH
